value,label,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
245,safe,,,,
245,safe,,,,
245,safe,,,,
245,safe,,,,
245,safe,,,,
244,safe,,,,
245,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
245,safe,,,,
245,safe,,,,
245,safe,,,,
245,safe,,,,
245,safe,,,,
245,safe,,,,
245,safe,,,,
245,safe,,,,
245,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
244,safe,,,,
243,safe,,,,
243,safe,,,,
244,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
243,safe,,,,
242,safe,,,,
242,safe,,,,
242,safe,,,,
242,safe,,,,
242,safe,,,,
242,safe,,,,
